"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
six_month_outcome,six_month_report,"Nurse-influenced Outcomes",checkbox,"Check all that apply","1, Less client anxiety or worry | 2, Reduced caregiver stress  | 3, Better family understanding, communication and/or dynamics | 4, Improved functioning in daily life | 5, Improved management of illness symptoms  | 6, Improved medication taking | 7, Reduced fall risk or falls | 8, Prevented hospitalization or ED visit | 9, Fewer EMT emergency calls  | 10, Able to live at home longer | 11, Smooth Transition (to home or from home) | 12, Better management of end-of-life | 13, Other",,,,,,,,,,,,
six_month_outcome_note,six_month_report,,notes,Notes?,,,,,,,,,,,,,
six_month_outcome_plan,six_month_report,,notes,"Plan going forward",,,,,,,,,,,,,
date_sc,social_context_2019,,text,"REQUIRED FIELD- TODAY'S DATE",,,date_ymd,,,,,y,,,,,
show_first_name,social_context_2019,,descriptive,"Client name",,,,,,,,,,,,,
address_v2,social_context_2019,,radio,"1) Household Composition","1, One person living alone | 2, Two persons in the same home | 3, One or two persons living with family member | 4, Independent/Assisted/Extended Care living, nursing home | 5, Other (Please describe in text box, below)",,,,,,,y,,,,,
notes_52,social_context_2019,,notes,Notes,,,,,,,,,,,,,
phone_v2,social_context_2019,,radio,"1a) If two persons in the household, specify ","1, Person #1 is primary client;  person #2 is basically healthy caregiver, only support & guidance. | 2, Both persons # 1 & # 2 have self care, illness care, &/or functional challenges, and each are enrolled separately. | 3, Other (please specify in the text box below)",,,,,,"[address_v2] = '2'",y,,,,,
notes_3,social_context_2019,,notes,Notes,,,,,,,,,,,,,
name_2nd_person,social_context_2019,,text,"1b) Name of second person from above question",,,,,,,"[address_v2] = '3'",,,,,,
client_support_1,social_context_2019,,dropdown,"2) Does the client have someone with whom s/he can
discuss important matters?
","1, Yes | 2, No | 3, Other (please specify in the comment box)",,,,,,,y,,,,,
non_med_assist,social_context_2019,,checkbox,"3) Care giving  Support & Assistance","1, Interested person/family who comes to the home daily and does things for the clients(s) | 2, Interested person/family who visits and does thing for the client(s) 2-5 times/week | 3, Interested person/family who has frequent phone or email contact and occasional visit | 4, Private Pay Caregiver: Individual OR Agency | 5, Individual who could be contacted in an emergency | 6, No family/person(s) who client(s) thinks s/he/they can rely on or call on | 8, Meals on Wheels | 9, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_4,social_context_2019,,notes,Notes,,,,,,,,,,,,,
healthcare_serv,social_context_2019,,checkbox,"4) Health care services (Current & within last 30 days) ","1, VNA (nursing, PT, OT) | 2, Hospice | 3, Fast Squad Call(s) | 4, Emergency department visit(s) | 5, Acute care hospitalization | 6, Stay in nursing home, assisted living, rehab | 7, Outpatient therapies (Non VNA) | 8, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_5,social_context_2019,,notes,Notes,,,,,,,,,,,,,
soc_lonl_1,social_context_2019,,checkbox,"5) Socialization/Loneliness ","1, As much social contact with family or friends as desired | 2, Finds solace in spiritual beliefs | 3, Has some contacts but seems a bit lonely | 4, Has church or neighbor visitation/check in | 5, Feels isolated and/or lonely | 6, Infrequent contact with others | 7, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_6,social_context_2019,,notes,Notes,,,,,,,,,,,,,
transp,social_context_2019,,checkbox,"6) Does the client have transportation issues? ","1, Drives or other person in home drives | 2, Has someone to call who                             consistently comes through | 3, Has a couple persons to call | 4, Uses public transportation | 5, A problem each time a need arises | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_53,social_context_2019,,notes,Notes,,,,,,,,,,,,,
finan_1,social_context_2019,,radio,"7) Financial concerns expressed","1, None | 2, Worries about paying bills for medicine, housing, heat, food | 3, Okay now but long term concerns | 4, Other (please specify in the text box below)",,,,,,,,,,,,
notes_54,social_context_2019,,notes,Notes,,,,,,,,,,,,,
fin_gues_1,social_context_2019,,checkbox,"8) Financial situation guesstimate ","1, Clearly not struggling or worried about meeting present or future expenses | 2, May be on the edge or struggling to meet housing, food, and health care needs | 3, Designated financial power of attorney | 4, Indeterminate | 5, Other (please specify in the text box below)",,,,,,,,,,,,
notes_7,social_context_2019,,notes,Notes,,,,,,,,,,,,,
heal_ins,social_context_2019,,checkbox,"9) Health Insurance ","1, Medicare | 2, Medicaid | 3, Supplementary Medicare | 4, Commercial | 5, Long Term Care | 6, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_8,social_context_2019,,notes,Notes,,,,,,,,,,,,,
ethn,social_context_2019,,radio,"10) Ethnicity/ Cultural Identity","1, Caucasian/White | 2, Black/ African American | 3, Hispanic/ Latin | 4, Asian | 5, Native American | 6, Mixed ethnicity | 7, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_9,social_context_2019,,notes,Notes,,,,,,,,,,,,,
st_language,social_context_2019,,yesno,"11a) Is English client's first language?",,,,,,,,,,,,,
non_english,social_context_2019,,text,"11b) If English is not client's first language, what is his/her first language? ",,,,,,,"[st_language] = '0'",,,,,,
other_soc_issue,social_context_2019,,notes,"12) Other Social Context Issues NOT mentioned above",,,,,,,,,,,,,
date_fh,functional_health_2019,,text,"REQUIRED FIELD- TODAY'S DATE",,,date_ymd,,,,,y,,,,,
prob_list2,functional_health_2019,,checkbox,"1) Physical or behavioral health concerns mentioned by client/family","1, Chronic pain | 2, Acute pain | 3, Respiratory difficulty | 4, Fatigue/Weakness | 15, Limited mobility | 5, Frequent falls | 6, Open skin area (where, how long, treatment) | 7, Nausea/Vomiting | 8, No appetite | 9, Urinary voiding problems | 10, Cancer | 11, Dizziness/Vertigo | 12, Edema | 13, Anxiety/Depression/Grief | 14, Other (Please describe in text box, below)",,,,,,,y,,,,,
notes_10,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
func_lim_1,functional_health_2019,,radio,"2) Daily functioning limited by physical problems/symptoms  (pain, sob, fatigue)","1, Minimal limitations | 2, Moderate limitations | 3, Considerable limitations",,,,,,,,,,,,
symp_mng_1,functional_health_2019,,checkbox,"3) Management of illness and symptoms","1, Good knowledge & managing well | 2, Lacks knowledge | 3, Can't perform ADLs | 4, Can't perform IADLs | 5, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_11,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
polypharm,functional_health_2019,,yesno,"4a) Polypharmacy",,,,,,,,,,,,,
med_mng_1,functional_health_2019,,checkbox,"4b) Medication management ","1, Taking correctly | 2, Administered by others | 3, Medications set up by others, taken by client | 4, Taking medications incorrectly e.g., time, dose, with food, inhaler technique, stopped taking some | 5, Client doesn't have some of prescribed medications e.g., cost, can't get the med, unaware | 6, Client has questions about medication purposes and when and how to take | 7, Having symptoms that could be drug-related | 8, Multiple providers prescribing has resulted in possible duplications or interactions | 9, Taking supplements or OTC medications | 10, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_12,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
frail_1_v3,functional_health_2019,,checkbox,"5a) Frailty Traits ","1, Robust/Vital for Age | 2, 1) Weakness | 3, 2) Slowness | 4, 3) Low level of physical activity | 5, 4) exhaustion/poor endurance | 6, 5) Unintentional weight loss | 7, None of the above | 9, Other Other (Please describe in text box, below)",,,,,,,,,,,,
notes_13,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
frail_refer,functional_health_2019,,descriptive,"* Frailty Phenotype Reference*",,,,,,,,,,,,,
frai_phe_3,functional_health_2019,,yesno,"5b) Frail by Phenotype (i.e., 3 of the 5 present)
",,,,,,,"[frail_1_v3(2)] = '1' or [frail_1_v3(3)] = '1' or [frail_1_v3(4)] = '1' or [frail_1_v3(5)] = '1' or [frail_1_v3(6)] = '1'",,,,,,
cog_stat_1,functional_health_2019,,checkbox,"6a) Cognitive Status","1, No obvious problem | 2, Considerable memory problems | 3, Making poor executive decisions (financial, gifts, pets, driving, activity) | 4, Drowsiness or excessive daytime sleep | 5, Disoriented to person, place, or time | 6, Other (Please describe in text box, below)",,,,,,,y,,,,,
notes_14,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
minicog_refer,functional_health_2019,,descriptive,"* MiniCog Score Reference*",,,,,,,,,,,,,
mini_cog_score,functional_health_2019,,text,"6b) Minicog score",,,,,,,,,,,,,
safe_1,functional_health_2019,,checkbox,"7) Client related safety risks","1, No obvious risk | 3, Poor vision | 4, Poor hearing | 5, Poor memory | 11, Neuropathy | 6, Doesn't consistently use assistive device | 7, Unable to get out of bed/chair safely | 9, Questionable driving | 10, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_15,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
env_risk,functional_health_2019,,checkbox,"8) Environmental safety risks","1, No obvious hazards, safety aids in place | 2, Comfortable residence temperature | 3, Hazards in home or outside home (obstacles, uneven floor, lighting) | 4, Too cold or too hot residence | 5, Running water/plumbing problem/very drafty | 6, No grab bars in bathroom/by steps | 7, Stairs that must be negotiated | 8, Problematic entry to residence | 9, Heats with wood or pellets | 10, Safeglide in place on stairs (uses independently/with assist) | 12, Pets and pet toys | 11, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_16,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
mob_1,functional_health_2019,,checkbox,"9) Mobility ","1, Physically active for age: walks regularly, light exercises, household or yard work | 2, Uses assistive device properly | 3, Difficulty walking, climbing stairs, getting up from a chair, carrying groceries | 4, Unsteady, poor balance | 5, Gait problem, shuffles, tentative | 6, Uses assistive device incorrectly or not at all | 7, In bed or lounge chair most of the time | 8, Needs assist with all transfers (bed/WC/chair/commode/toilet) | 9, TUG Score | 10, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_17,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
tug_pdf,functional_health_2019,,descriptive,"*TUG score reference*",,,,,,,,,,,,,
tug_1,functional_health_2019,,text,"10) TUG Score",,,,,,,"[mob_1(9)] = '1'",,,,,,
number_falls,functional_health_2019,,radio,"11) Number of falls in the last month","1, No falls | 2, Fell few times in the last month | 3, Fell once or several times in the last year | 4, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_18,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
falls_reas,functional_health_2019,,checkbox,"11a) Reasons for fall(s)","1, Weakness | 2, Dizziness | 3, Tripped, Stumbled | 4, Lost consciousness | 5, Other (Please describe in text box, below)",,,,,,"[number_falls] = '2' or [number_falls] = '3'",,,,,,
notes_19,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
fall_impact,functional_health_2019,,radio,"11b) Fall impact","1, Fall did not result in injury | 2, Fall resulted in an unreported injury | 3, Fall resulted in contact with PCP | 4, Fall resulted in trip to ED | 5, Other (Please describe in text box, below)",,,,,,"[number_falls] = '2' or [number_falls] = '3'",,,,,,
notes_20,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
falls_algor,functional_health_2019,,descriptive,"*CDC-Fall Risk Reference*",,,,,,,,,,,,,
fall_risk,functional_health_2019,,radio,"11c) Fall Risk per CDC/STEADI definitions ","1, Low | 2, Moderate | 3, High | 4, Other (please specify in the text box below)",,,,,,"[number_falls] = '1' or [number_falls] = '2' or [number_falls] = '3' or [number_falls] = '4'",,,,,,
notes_21,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
lifeline,functional_health_2019,,yesno,"12) Has Lifeline or other emergency feature at home",,,,,,,,,,,,,
emo_stat,functional_health_2019,,checkbox,"13) Emotional and spiritual status  ","1, Expresses interest in life beyond self | 2, Feels cared for, finds solace in spiritual beliefs | 3, Little interest in life, wonders why still living | 4, Irritable, angry, aggressive | 5, Grieving loss | 6, Anxiety, nervous, edgy, restless | 7, Feels hopeless/depressed/like a failure | 8, Persistent sleep problems | 9, Sexual concerns | 10, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_22,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
alc_dru,functional_health_2019,,checkbox,"14) Alcohol or drug use","1, No issue identified | 2, Self-acknowledged | 3, Family suspect it | 4, Suspected at visit | 5, Smokes or chews tobacco | 6, Other person in household may have problem | 7, Uses drugs | 8, Uses alcohol | 9, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_23,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
eld_abu,functional_health_2019,,checkbox,"15) Elder abuse ","1, None suspected | 2, Self-Neglect | 3, Neglect by others possible | 4, Emotional/verbal abuse by others possible | 5, Physical abuse by others possible | 6, Exploitation by others (financial, documents) possible | 7, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_55,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
elder_abuse_ref,functional_health_2019,,descriptive,"* Elder Abuse Reference*",,,,,,,,,,,,,
nut_list,functional_health_2019,,checkbox,"16) Nutrition/Eating","1, Prepares good meals regularly | 2, Meals brought in by family or friends | 3, Meals-on-Wheels | 4, Little food in house | 5, Can't shop | 6, Limited ability to prepare | 7, Food insecurity, finances | 8, Dental problems | 9, Other (please specify in the text box below)",,,,,,,,,,,,
notes_24,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
height,functional_health_2019,,text,"17) Height (Inches)",,,,,,,,,,,,,
weight,functional_health_2019,,text,"18) Weight (lbs)",,,,,,,,,,,,,
bmi,functional_health_2019,,calc,"18a) BMI (Automatically calculated from values added above)",([weight]/([height]*[height]))*703,,,,,,,,,,,,
bmi_ref,functional_health_2019,,descriptive,"*Weight Status per BMI Reference*",,,,,,,,,,,,,
bmi_stat,functional_health_2019,,radio,"18b) Weight status per BMI ","1, Underweight (BMI below 18.5) | 2, Normal/Healthy weight (BMI 18.5 - 24.9) | 3, Overweight (BMI 25.0 - 29.9) | 4, Obese (BMI 30.0 and above) | 5, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_25,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
eli,functional_health_2019,,checkbox,"19) Elimination","1, No problems | 2, Problems with bladder control | 3, Problems with bowels | 4, Uses adult protective products | 5, Other (Please describe in text box, below)",,,,,,,,,,,,
notes_26,functional_health_2019,,notes,Notes,,,,,,,,,,,,,
